,MSLE,RMSE,MSLE,RMSE
likes,0.11153924257994195,30.704716183383063,0.1664976919751412,34.753422008442975
shares,0.3353266980052387,14.116113334167519,0.5156708782765319,16.30209336278937
comments,0.3565715812696323,23.20868677281933,0.5076675682209185,24.02771437362442
positive_reactions,0.32356778221549554,15.896676556907208,0.4572818309315587,18.340881681147877
negative_reactions,0.48458461627625127,35.382043685563204,0.8941202853543336,43.634841940492755
