,idx,collected,goal_amount,num_backers,category,duration,pledge_types,donate,creator,project_we_love,success,start_month,start_day,population,country
711,947,9.056256356593467,10.126631103850338,52,film_Video,30,10.0,0.0,Sam Osborn,1.0,0,3,2,15.9166075437284, NY
712,948,10.712103982902187,10.680516217076775,617,food,41,13.0,0.0,Proud Pour,1.0,1,3,1,13.410750701107972, MA
713,950,10.977721762476238,10.915088464214607,425,art,31,6.0,0.0,HAYMAKER,1.0,1,2,1,15.9166075437284, NY
714,952,9.743025330095067,8.699514748210191,281,journalism,30,11.0,0.0,Winnie Au,1.0,1,2,1,14.648708334886981, NY
715,954,14.755306075290166,9.210340371976184,"53,643",games,30,4.0,0.0,Exploding Kittens,1.0,1,2,1,15.194750847520005, CA
716,957,8.918248591035702,8.867850063029406,203,comics,33,10.0,0.0,Sania Omar,,1,2,4,15.194750847520005, CA
717,958,11.153742235053578,11.02679245379461,748,design,30,7.0,0.0,Unit Editions,1.0,1,3,4,15.837971611150978, UK
718,959,9.768812649209526,9.615805480084347,92,technology,31,9.0,0.0,Edgar Arceneaux,1.0,1,2,1,15.194750847520005, CA
719,960,8.862959249234457,8.841014310483892,108,art,30,14.0,0.0,Julien Pacaud,1.0,1,2,0,14.575639054856664, France
720,961,7.370860166536716,8.517193191416238,43,crafts,30,4.0,0.0,Mandi Johnson,1.0,0,2,3,16.219877932364952, OH
722,966,10.005307859041949,9.822819649468673,241,fashion,25,16.0,0.0,Louisa Connolly-Burnham,1.0,1,2,2,15.837971611150978, UK
723,967,9.037176752966994,8.987196820661973,82,music,60,9.0,0.0,Tony Savarino,,1,1,0,13.410750701107972, MA
724,970,6.19644412779452,7.51425465281641,23,art,44,1.0,0.0,CollectiveEncounters,1.0,0,1,0,13.669469241521591, UK
726,974,11.983628849330238,9.903487552536127,"1,706",food,45,11.0,0.0,Kettle & Fire,1.0,1,2,1,13.744905673596723, TX
727,975,10.398641006907823,11.002099841204238,305,design,45,10.0,0.0,Coldharbour Tiles,1.0,0,2,0,13.52148977157899, Rwanda
728,979,11.217023031071593,11.362102575235644,514,design,43,14.0,0.0,Designers & Books,1.0,0,2,0,15.9166075437284, NY
729,980,12.394931123357752,11.156250521031495,"1,033",design,21,13.0,0.0,Kammok,1.0,1,2,1,13.744905673596723, TX
731,983,13.821743095290575,11.918390573078392,"3,453",technology,30,20.0,0.0,Sphero,1.0,1,2,1,11.583840487939831, CO
732,988,8.165215768258559,8.083328608786376,56,art,30,8.0,0.0,MetaDada,1.0,1,2,4,15.047007280023905, Germany
733,989,8.238008249218403,7.824046010856292,155,comics,30,17.0,0.0,133art Publishing,1.0,1,2,2,15.194750847520005, CA
734,991,9.646722582719068,9.615805480084347,330,publishing,29,10.0,0.0,Porter Fox,1.0,1,1,1,14.648708334886981, NY
735,999,10.436025743207768,9.825526011066415,"1,063",journalism,30,13.0,0.0,Neil Clarke,1.0,1,1,2,12.484802264083928, NJ
736,1001,11.018328589797092,10.864320773300143,"2,824",games,30,12.0,0.0,Canari Games,1.0,1,1,1,14.28551418721001, Canada
737,1002,11.79087533277759,9.210340371976184,417,publishing,32,17.0,0.0,Thornwillow,1.0,1,2,0,10.250263664295613, NY
738,1003,11.932944154085904,11.918390573078392,345,theater,30,12.0,0.0,REEFA,1.0,1,1,1,12.996806957126934, FL
739,1004,10.767192365469784,10.670117509855876,312,food,37,10.0,0.0,Jeremy Pang,1.0,1,2,1,15.837971611150978, UK
740,1006,9.719264188452577,8.794824928014517,392,music,30,8.0,0.0,Lewis Wallace,1.0,1,1,1,12.459303015000792, NC
741,1009,11.79704700624723,11.589886506106357,476,publishing,33,7.0,0.0,Kronecker Wallis,1.0,1,1,5,14.29888502284722, Spain
742,1013,7.335614425021494,6.259151161172864,42,art,60,7.0,0.0,Erin green,1.0,1,1,3,13.304684934198283, Canada
743,1016,9.3487971151232,8.006367567650246,150,journalism,30,5.0,0.0,Kettle Ridge Farm,1.0,1,1,2,12.253919507787362, NY
744,1018,10.266740811834984,10.126631103850338,368,design,31,13.0,0.0,Craighton Berman,1.0,1,1,1,14.816343153421665, IL
745,1019,8.700347734514084,8.294049640102028,85,dance,14,8.0,0.0,Ella Mahler,1.0,1,1,1,13.436372336049693, WA
746,1022,12.920113943278736,10.842939969631576,744,photography,60,15.0,0.0,OBSBOT,1.0,1,1,1,15.7632387676311, Hong Kong
747,1026,9.215526898663482,8.779557455883728,113,fashion,32,7.0,0.0,Rebecca Hearn,1.0,1,1,0,15.194750847520005, CA
748,1027,8.955513668586288,8.91841062424483,180,games,40,14.0,0.0,PlayWay,1.0,1,1,0,11.756326442104873, Poland
749,1030,8.992930352509733,10.795383127575562,138,games,40,9.0,0.0,The Midnight Team,1.0,0,1,4,14.575639054856664, France
750,1031,9.381312770013244,5.910796644040527,250,design,30,11.0,0.0,Nia Gould,1.0,1,1,5,11.676429409181685, UK
751,1032,11.211617648936635,9.798127036878302,"1,309",food,30,12.0,0.0,Lisa Carson,1.0,1,1,1,15.9166075437284, NY
752,1035,8.33382789011044,8.213381737034572,98,journalism,28,4.0,0.0,Victoria Anderson,1.0,1,1,0,15.837971611150978, UK
754,1040,9.843790625278,9.798127036878302,221,film_Video,30,16.0,0.0,Ryan Polly,1.0,1,1,1,14.07794558915851, TX
755,1041,10.112757225140074,9.983121361237258,659,comics,31,15.0,0.0,Hope Nicholson,1.0,1,1,1,13.356744351705224, Canada
756,1044,9.726452000171411,9.615805480084347,168,technology,31,9.0,0.0,Little Lord,1.0,1,1,2,15.9166075437284, NY
757,1046,10.560541125447834,9.210340371976184,"1,083",design,30,5.0,0.0,Shing Yin Khor,1.0,1,1,3,15.194750847520005, CA
758,1051,8.310339733117193,7.404282769886961,130,technology,30,15.0,0.0,Patrick Thomas Mitchell,1.0,1,1,4,9.184304357425342, Canada
759,1052,7.731053144007127,7.313220387090301,35,fashion,60,14.0,0.0,Kali Kahn,1.0,1,12,2,12.996806957126934, FL
760,1054,8.422662707570003,8.006367567650246,129,theater,21,8.0,0.0,Kristine Haruna Lee & Aya Ogawa,1.0,1,1,3,14.648708334886981, NY
761,1055,12.979111457736863,12.976180867226248,"1,689",crafts,41,7.0,0.0,PrintDreams,1.0,1,12,4,14.230937217984762, Sweden
762,1056,6.81783057145415,8.934586870389676,28,art,46,16.0,0.0,Friends of Palazzo Martinengo,1.0,0,12,2,12.127170120934132, Italy
763,1057,10.72753140789784,8.517193191416238,568,publishing,37,15.0,0.0,Michael Demo,1.0,1,12,2,10.334880282654208, NY
764,1058,7.94463045224223,6.421622267806518,57,art,30,6.0,0.0,Simon Bonner,1.0,1,1,1,11.221877735042145, UK
765,1059,11.918997055797231,10.819778284410283,888,technology,60,9.0,0.0,Robolink,1.0,1,1,1,14.148353359002385, CA
766,1060,11.920302078320963,9.903487552536127,"4,321",music,28,9.0,0.0,Jonathan Coulton,1.0,1,1,2,14.648708334886981, NY
767,1061,10.214528384977658,10.196138509608492,35,crafts,44,12.0,0.0,Elizabeth Moreno Damm,1.0,1,12,5,13.608239125490638, Mexico
770,1065,9.860192711382645,9.750336373041954,297,games,37,2.0,0.0,itten,1.0,1,12,3,15.936165897399452, Japan
772,1070,9.259130536145614,9.210340371976184,218,music,23,11.0,0.0,Encyclopedia Botanica,1.0,1,1,3,13.436372336049693, WA
773,1071,9.915034133456484,8.618846845142738,280,design,30,3.0,0.0,Seb Burnett,1.0,1,1,2,13.333078008699502, UK
775,1073,10.99874976930777,10.837992395780887,126,film_Video,60,9.0,0.0,Andrea Santiago,1.0,1,12,2,14.217758496527752, Mexico
776,1074,8.554367581508664,8.031060180240619,169,theater,60,10.0,0.0,Lucy Saunders,1.0,1,12,3,12.39999333816748, UK
777,1075,5.805134968916488,7.313220387090301,19,journalism,30,6.0,0.0,Matthew Slusser,1.0,0,1,2,14.262133604157334, AZ
778,1076,8.998196106120341,8.906528917594517,341,technology,30,23.0,0.0,Media Diversified,1.0,1,12,2,15.837971611150978, UK
779,1077,8.091732089317759,8.002119892370674,56,journalism,30,9.0,0.0,Phantom Signal,1.0,1,12,5,13.304684934198283, Canada
781,1079,9.1874810778301,8.922658299524402,162,theater,36,11.0,0.0,Supply Unica,1.0,1,12,2,14.648708334886981, NY
782,1081,11.137868313033447,11.127262984158243,494,food,50,20.0,0.0,Megan Greenwood,1.0,1,11,1,14.262133604157334, AZ
783,1082,10.768087437324919,10.62230247984465,336,music,42,4.0,0.0,PhonicBloom Limited,1.0,1,11,3,13.839253451421483, Ireland
784,1092,10.294718500616467,10.126631103850338,469,journalism,44,10.0,0.0,Popula,1.0,1,12,1,15.194750847520005, CA
785,1093,8.591558273371545,9.392661928770137,153,journalism,30,7.0,0.0,Elea Chang,1.0,0,12,0,13.357133477695209, OR
786,1096,10.067269559016221,10.021270588192511,331,food,25,14.0,0.0,Klint & Bro,1.0,1,12,2,13.958411048202212, Denmark
789,1100,10.077272778307796,10.900749791385406,295,film_Video,30,21.0,0.0,Fred China,1.0,0,12,4,14.575639054856664, France
