collected,goal_amount,num_backers,category,duration,pledge_types,donate,project_we_love,success,start_month,start_day,population,country,Person,Team,num_projects,num_backed,verified,fb_page_name,fb_likes_at_posting,fb_followers_at_posting,fb_type,fb_likes,fb_comments,fb_shares,fb_post_views,fb_entities_identified,fb_post_sponsored,fb_post_age,fb_page_age,fb_positive_reactions,fb_negative_reactions,fb_topic_0,fb_topic_1,fb_topic_2,fb_topic_3,fb_topic_4,fb_topic_5,fb_topic_6,fb_topic_7,fb_topic_8,fb_topic_9,fb_topic_10
8.600798775271034,8.496990484098719,66,games,30,7.0,0.0,1.0,1,6,4,11.973093381793852, MA,1,0,2,10, janos stone,Kickstarter,1589842,1587991,link,1,1,0,2,"ORG,PERSON,DATE",0,0,4839,1,0,6.629138930373738e-05,0.2000461667776107,1.4435712423107547e-05,0.1919610947370529,3.4120545236973536e-05,4.612073642226671e-05,8.595832236018072e-05,0.3954271078109741,8.596049316974176e-05,9.477247490486204e-05,0.1771855056285858
11.626750071930616,10.886127664951816,"1,462",games,30,9.0,0.0,1.0,1,7,1,15.936165897399452, Japan,0,1,2,0, Maho Williams,Kickstarter,1589866,1588006,link,5,2,0,5,,0,2,4839,0,0,6.702743410356776e-05,0.1709547787904739,5.895370142046677e-05,2.9334163474628773e-05,0.7778891921043396,8.202935960574763e-05,5.371890054277496e-05,4.668268880241618e-05,9.58194628552002e-05,4.532096332887055e-05,8.465282886814377e-05
12.960634723791586,10.819778284410283,918,design,30,4.0,0.0,1.0,1,6,1,13.436372336049692, WA,0,1,7,16, Marc Barros,Kickstarter,1589901,1588019,link,10,2,1,12,PRODUCT,0,2,4839,2,0,9.690503309963034e-05,1.816116381290961e-05,0.2867445945739746,0.1228248327970504,7.670980165599847e-05,4.037299440814162e-05,0.5500161647796631,7.194600315195301e-05,5.319387809399703e-05,5.079607485910484e-05,8.336309900270257e-05
9.030854790001436,11.02115055189504,93,food,22,12.0,0.0,1.0,0,6,6,15.837971611150978, UK,1,0,2,1, Akwasi Brenya-Mensa,Kickstarter,1590070,1588169,link,7,2,0,9,"FAC,NORP,PERSON,GPE",0,7,4839,0,2,8.320869470025677e-05,1.9669690135902003e-05,0.3730984330177307,5.145919822759144e-05,2.7330386035234372e-05,1.9351783006885605e-05,7.137968725253225e-05,0.2011377662420272,9.009532679250908e-05,0.3697847723960876,7.948583537122525e-05
11.866416345153828,9.903487552536127,"1,047",comics,34,8.0,0.0,1.0,1,6,1,11.5647491186924, CA,1,0,3,88, Adam Lawson,Kickstarter,1589930,1588019,link,4,1,0,5,"CARDINAL,PERSON",0,8,4839,0,1,6.961463457367349e-05,1.5138126647873276e-05,0.9393778443336488,7.091173611813203e-05,5.330884404309705e-05,3.6728293699434e-05,6.727333578586354e-05,1.2539612555113536e-05,1.3379743455209988e-05,7.733959337571723e-05,5.524763446968532e-05
10.374272126764936,10.308952660644293,203,film_Video,30,13.0,0.0,1.0,1,6,1,15.9166075437284, NY,1,0,1,2, Julia Greenberg,Kickstarter,1589715,1587803,link,3,1,0,4,"PERSON,GPE",0,9,4839,0,1,4.298232603151948e-05,5.178027843327174e-05,0.3767456114292145,0.3007999956607818,9.187392069510324e-05,2.4822775396968585e-05,7.112979415254378e-05,0.064631313085556,8.321333406401312e-05,0.22598797082901,9.633023726007126e-05
9.542445945729886,8.804775258867686,258,comics,31,16.0,0.0,1.0,1,6,1,15.194750847520003, CA,0,1,4,23, Donold Wooldridge,Kickstarter,1589715,1587803,link,3,5,1,5,WORK_OF_ART,0,10,4839,1,1,6.519381883295164e-05,1.5694301013693886e-05,0.1942892372608184,8.76231150268606e-05,6.930402840547674e-05,0.0861170589923858,8.978738308834699e-05,1.6777574354929345e-05,2.1039458195711705e-05,0.6812953352928162,7.6785253505636e-05
11.036924527770871,10.060491301345794,375,film_Video,51,4.0,0.0,1.0,1,6,4,15.936165897399452, Japan,0,1,1,0, 幸治 山本,Kickstarter,1589600,1587689,link,6,1,0,6,"ORG,DATE,NORP,ORDINAL,WORK_OF_ART,PERSON",0,10,4839,0,0,1.8962374855300252e-05,4.302086884540589e-05,0.5920311212539673,6.948731880561694e-05,6.857113828486052e-05,3.466398890167846e-05,1.9260076604268056e-05,0.2657180726528168,2.016222181613945e-05,2.9811200872813852e-05,0.0862766504287719
11.346304013980344,9.210340371976184,"1,154",games,30,27.0,0.0,1.0,1,6,4,13.340452576975746, MD,1,0,5,21, Amanda Coronado,Kickstarter,1589543,1587618,link,9,3,1,11,"CARDINAL,PERSON",0,14,4839,1,1,3.281577353937783e-05,4.153303908575068e-05,0.0895046591758728,0.3737397789955139,0.5124923586845398,2.3569893055523982e-05,4.08148396929691e-05,4.885222569980756e-05,9.156927089547168e-05,6.6905577724651e-05,7.613178690864471e-05
10.74618108640462,10.571316925111784,375,film_Video,30,17.0,0.0,1.0,1,7,4,15.936165897399452, Japan,0,1,1,0, 信吾 國枝,Kickstarter,1589494,1587566,link,5,0,0,5,"ORG,ORDINAL,GPE",0,15,4839,0,0,1.0895153490616305e-05,8.739243862871284e-05,5.33503312872637e-05,2.1036423526484005e-05,3.3330824402121595e-05,3.726858331042588e-05,3.6776432441160167e-05,0.9393572807312012,6.764579639022205e-05,7.35767340161956e-05,2.715749600693378e-05
