insample_outsample,score,domain_post,domain_engagement,domain_only
insample,msle,2.728913183515786,0.6479435997770374,1.1530048165331377
insample,r2,0.09180512908562566,0.5789368351055881,0.6904103984359371
insample,rmse,2024.4077549114902,1378.421679898866,1181.9569331536436
outsample,msle,2.1773914662286975,1.0659242320484827,0.9737433780465674
outsample,r2,0.3729056901227632,0.4678789564481154,0.527319789862592
outsample,rmse,2542.743729080862,2342.293854459631,2207.5973895374837
