,in_r2,out_r2,in_acc,out_acc,in_msle,out_msle
likes,0.8532861047431458,0.6610089807119386,594.8554354012522,1184.6678043230945,0.07630285655441381,0.1651136211340447
shares,0.6850300627591359,0.4726700561805045,155.0929140580535,258.0620022753128,0.22914368083758896,0.4689178156382202
comments,0.7315046433180055,0.5972277498036251,419.0283153101878,567.1894197952216,0.25723468791048,0.4937972859260624
positive_reactions,0.7940309936193849,0.5508484558671807,184.90680136596472,325.2753128555177,0.20622674926952425,0.39546503237888425
negative_reactions,0.5934292463485429,0.20457815241312594,950.2791690381332,1865.276450511945,0.29556810312756643,0.815826057960741
