insample_outsample,score,domain_post,domain_engagement,domain_only
insample,msle,0.21070646153668718,0.23174843164450903,0.23187151423210922
insample,r2,0.16885029974765298,0.0674658247083868,0.07130115546391358
insample,rmse,1.8100976108139655,1.9173206387232118,1.9133737939132285
outsample,msle,0.18929477205377732,0.20546167839994608,0.20205305023460277
outsample,r2,0.21093084283812458,0.09056467133005774,0.1028480223875966
outsample,rmse,1.6540293177402534,1.775708115974972,1.7636754858254937
