insample_outsample,score,domain_post,domain_engagement,domain_only
insample,accuracy,0.6781115879828327,0.6545064377682404,0.6630901287553648
insample,f1,0.7832369942196531,0.7628865979381444,0.7701317715959004
insample,precision,0.9494835294117647,0.95316,0.95316
insample,recall,0.6452380952380953,0.6166666666666667,0.6261904761904762
outsample,accuracy,0.6385542168674698,0.6265060240963856,0.7228915662650602
outsample,f1,0.7540983606557378,0.7479674796747966,0.8244274809160306
outsample,precision,0.9787234042553191,0.9583333333333334,0.9642857142857143
outsample,recall,0.6133333333333333,0.6133333333333333,0.72
