,Importance
duration_1-2 months,1.0
goal_amount,0.9461225285470318
duration_2 weeks - 1 month,0.8137921873286413
start_month,0.018150378357630483
num_projects,0.004738140076914797
Person,0.001737565793428738
start_day,0.0015678532379425577
duration_<1 week,0.0011083541772311113
duration_1-2 weeks,0.0011083541772311113
num_backed,0.0
