,Importance
num_backed,1.0
goal_amount,0.9215686274509801
duration_1-2 months,0.7745098039215684
Person,0.3921568627450984
duration_2 weeks - 1 month,0.37254901960784353
start_day,0.36274509803921606
start_month,0.1862745098039225
num_projects,0.10784313725490274
duration_<1 week,0.0
duration_1-2 weeks,0.0
