goal_amount,start_month,start_day,Person,num_projects,num_backed,duration_<1 week,duration_1-2 weeks,duration_2 weeks - 1 month,duration_1-2 months,fb_likes_at_posting,fb_followers_at_posting,fb_post_views,fb_readability,fb_readability_lix,fb_entropy_scores,fb_perplexity_scores,fb_fear,fb_anger,fb_anticip,fb_trust,fb_surprise,fb_positive,fb_negative,fb_sadness,fb_disgust,fb_joy,fb_post_sponsored,fb_post_age,fb_page_age,fb_topic_0,fb_topic_1,fb_topic_2,fb_topic_3,fb_topic_4,fb_topic_5,fb_topic_6,fb_topic_7,fb_topic_8,fb_topic_9,fb_topic_10,fb_type_link,fb_type_photo,fb_type_video,fb_entity_ORG,fb_entity_PERSON,fb_entity_DATE,fb_entity_CARDINAL,fb_entity_GPE,fb_entity_PRODUCT,fb_entity_WORK_OF_ART,fb_entity_ORDINAL,fb_entity_MONEY,fb_entity_TIME,fb_entity_NORP,fb_emotionality,success,collection_ratio,num_backers
8.922658299524402,2,2,0,1,0,0,0,0,1,1569433,1515333,15007,12.759999999999998,45.0,0.7379733136430541,2.091692012158745,8.825803046334819e-05,8.914755792379566e-05,6.655667467946982e-05,0.1428571428571428,0.1428571428571428,0.2857142857142857,2.55340106785984e-05,2.573126885556604e-05,4.5007801715532616e-05,0.2857142857142857,0,1611,4839,0.4546442031860351,0.0101045724004507,0.1211320608854293,0.010106248781085,0.1211820021271705,0.0101046003401279,0.0101044904440641,0.010104801505804,0.2323050498962402,0.0101063856855034,0.0101055903360247,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.8574830924871734,1,1.1089333333333338,103.00000000000001
9.903487552536127,2,2,0,1,1,0,0,1,0,1569358,1515269,6501,29.59852941176471,52.294117647058826,0.7585070026422707,2.1350861617167505,7.805730106961024e-05,6.449763474021451e-05,2.7667701990586725e-05,0.5,2.5989343132760817e-05,0.5,3.928148477988544e-05,8.069727679899157e-05,3.551728105827869e-05,6.262881678559524e-05,0,1612,4839,0.1468704342842102,7.130081490724673e-05,1.2465086795434689e-05,0.0528773926198482,0.0660716891288757,0.1472206562757492,5.721629278505636e-05,0.2846313714981079,0.2806664407253265,1.6453596130218282e-05,3.1619010943474164e-05,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1.0004143368403557,1,1.1296500000000016,371.9999999999999
9.903487552536127,2,0,1,3,55,0,0,1,0,1569326,1515158,12966,19.78627906976744,56.95348837209302,1.5396200574788228,4.6628183314392135,7.681329433808037e-05,9.01283010592286e-05,7.044989948233256e-05,4.698210638195682e-05,0.1111111111111111,0.5555555555555556,2.873681821023574e-05,1.7327987355704356e-05,4.8419023260357126e-05,0.2222222222222222,0,1613,4839,4.4659271875697554e-05,6.563349732541634e-05,0.1623864471912384,0.1045469567179679,0.1471056491136551,0.2727226614952087,4.5329858403771776e-05,0.2636293172836303,4.848613149949614e-05,3.024628656142999e-05,1.0904702592717705e-05,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0.8892677463189768,1,1.1569500000000004,229.00000000000006
8.987196820661973,2,1,0,1,6,0,0,1,0,1569162,1514895,10718,20.42742857142857,55.0,0.8686361448274581,2.3836576717489675,8.77929639810376e-05,6.715221095274487e-05,6.257751718011057e-05,0.3333333333333333,4.347597585945473e-05,0.3333333333333333,1.3391549825489933e-05,3.4968084873905905e-05,5.635178869975437e-05,0.3333333333333333,0,1620,4839,0.1363734006881714,0.0113668106496334,0.0113668106496334,0.0113686686381697,0.1362373232841491,0.0113678164780139,0.0113668106496334,0.2613917887210846,0.0113670621067285,0.0113669736310839,0.3864265382289886,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1.0003657100913725,1,1.346249999999999,206.00000000000003
9.903487552536127,1,2,0,1,3,0,0,0,1,1568977,1514718,11310,26.60325,60.0,1.2056818602714388,3.339035057379866,0.1666666666666666,0.1666666666666666,9.502571154934271e-05,4.500080475761257e-05,3.1611654131184785e-05,0.1111111111111111,0.2222222222222222,0.1666666666666666,0.1111111111111111,7.462941450102716e-05,0,1625,4839,0.07273431122303,0.0727166980504989,9.277348645695694e-05,0.2058877944946289,0.0801206156611442,3.5956496827503284e-05,8.999694644895847e-05,3.339461659377551e-05,2.8851562948897945e-05,0.3752724826335907,0.1629784703254699,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.9446907120293834,1,1.3009500000000016,201.0
10.308952660644293,1,0,1,2,7,0,0,1,0,1568951,1514566,2730,35.855555555555554,52.92592592592592,0.8495544402536146,2.338604631670954,3.680734585511901e-05,1.4767561544149075e-05,5.53935243825237e-05,6.692945001567003e-05,9.796004045962255e-05,0.5,9.734766406616344e-05,7.891849216935291e-05,2.943555840564564e-05,8.163043737333171e-05,0,1627,4839,0.012998953461647,0.012998953461647,0.012998953461647,0.0129994209855794,0.012998953461647,0.7277975082397461,0.012998953461647,0.012998953461647,0.012998953461647,0.012998953461647,0.1552114784717559,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.5005591900742715,1,1.7739333333333338,1046.0000000000005
11.002099841204238,1,2,0,1,4,0,0,1,0,1568962,1514477,12360,40.66269230769231,60.61538461538461,0.7580511672094384,2.134113135578834,9.893116683591718e-05,8.006977229666879e-05,9.282363381954584e-05,0.1428571428571428,0.1428571428571428,0.4285714285714285,2.605920836870788e-05,8.377279072962076e-05,8.604737887800996e-05,0.1428571428571428,0,1630,4839,0.2719974219799042,7.841897433334692e-05,0.1684224009513855,4.7919924951086656e-05,0.0778124704957008,0.1967217326164245,7.654103125753506e-05,0.2460920661687851,5.699093982044918e-05,3.5597642954842245e-05,1.1137392775703142e-05,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.8576105610937853,1,3.261549999999997,2719.0
9.903487552536127,1,5,1,6,8,0,0,0,1,1569041,1514598,8231,35.2025,49.5,0.6710223149579528,1.9562361882422523,1.243959871026098e-05,1.6990517194555475e-05,1.3877579454117789e-05,6.553487751596134e-05,6.203538689264902e-05,1.0,1.794418934000938e-05,9.591159869541774e-05,7.494187350018969e-05,6.80897982408629e-05,0,1633,4839,0.0837774127721786,5.6869166005320025e-05,0.6901857852935791,2.948717336618035e-05,3.086343204313432e-05,0.086118035018444,1.3686754373191116e-05,0.0910472050309181,1.2073312509850725e-05,8.062758073844531e-05,4.110003531435575e-05,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1.000427765419544,1,1.5343000000000042,663.0
10.46310334047155,1,1,0,1,10,0,0,1,0,1568894,1514401,17410,24.1028125,31.625,0.6433217444660602,1.9027909786374124,9.342168059312778e-05,3.626408688165706e-05,5.717869470529289e-05,0.25,3.584426458902139e-05,0.3333333333333333,9.916468690361256e-05,1.105946314806808e-05,3.5292385414333966e-05,0.1666666666666666,0,1636,4839,9.874136651634952e-05,5.286777178928379e-05,0.0987261831760406,7.318035343376086e-05,4.339299964172951e-05,3.285412756678715e-05,0.2577385902404785,0.2135729938745498,2.675897493989836e-05,0.2811304926872253,0.0992084741592407,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.7503682252622351,1,1.2304285714285725,271.00000000000006
11.805576422042591,1,4,0,1,0,0,0,0,1,1568857,1514350,10519,23.307747747747747,42.06306306306306,1.5461969334687236,4.693586176613675,0.25,1.7325128496968465e-05,7.208664658716714e-05,0.25,3.5799248691328524e-05,0.25,9.415284918695708e-05,8.457866148317907e-05,9.316489246131796e-05,3.618426801917786e-05,0,1637,4839,0.2438505738973617,0.0113495029509067,0.0113497590646147,0.0113495029509067,0.0113501213490962,0.0113501455634832,0.0113495038822293,0.011349631473422,0.3787336647510528,0.2866180539131164,0.0113495020195841,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.7504332916949261,1,1.076032000597029,183.00000000000009
